;	Simulated Data
;	t0	2010.35
s2	;	name	of	the	star
;	mK	13.95
;	spectral	type	B2
;	square	10.
;	facSchwarzschild	0	0
;	facSpecialRelativity	0	0
;	facGravitationalRedshift	0	0
;	facRetardation	0	0
;	useEllipse	FALSE
;	omegaSys	0	0
;	Dec2	0	0
;	Ra2	0	0
;	vDec2	0	0
;	vRa2	0	0
2016.046	-0.0673354438428	0.00001	0.0791943563836	0.00001	;	simulated NACO
2016.048	-0.0673319099404	0.00001	0.0791305897522	0.00001	;	simulated NACO
2016.05	-0.0673283510405	0.00001	0.079066793743	0.00001	;	simulated NACO
2016.052	-0.067324767108	0.00001	0.0790029683368	0.00001	;	simulated NACO
2016.054	-0.0673211581077	0.00001	0.0789391135145	0.00001	;	simulated NACO
2016.056	-0.0673175240043	0.00001	0.078875229257	0.00001	;	simulated NACO
2016.058	-0.0673138647625	0.00001	0.078811315545	0.00001	;	simulated NACO
2016.06	-0.0673101803469	0.00001	0.0787473723595	0.00001	;	simulated NACO
2016.062	-0.0673064707219	0.00001	0.0786833996812	0.00001	;	simulated NACO
2016.064	-0.067302735852	0.00001	0.0786193974907	0.00001	;	simulated NACO
2016.066	-0.0672989757016	0.00001	0.0785553657689	0.00001	;	simulated NACO
2016.068	-0.0672951902348	0.00001	0.0784913044963	0.00001	;	simulated NACO
2016.07	-0.0672913794159	0.00001	0.0784272136537	0.00001	;	simulated NACO
2016.072	-0.0672875432089	0.00001	0.0783630932216	0.00001	;	simulated NACO
2016.074	-0.0672836815779	0.00001	0.0782989431807	0.00001	;	simulated NACO
2016.076	-0.0672797944868	0.00001	0.0782347635115	0.00001	;	simulated NACO
2016.078	-0.0672758818993	0.00001	0.0781705541945	0.00001	;	simulated NACO
2016.08	-0.0672719437793	0.00001	0.0781063152103	0.00001	;	simulated NACO
2016.082	-0.0672679800904	0.00001	0.0780420465392	0.00001	;	simulated NACO
2016.084	-0.0672639907963	0.00001	0.0779777481617	0.00001	;	simulated NACO
2016.086	-0.0672599758604	0.00001	0.0779134200583	0.00001	;	simulated NACO
2016.088	-0.0672559352461	0.00001	0.0778490622092	0.00001	;	simulated NACO
2016.09	-0.0672518689167	0.00001	0.0777846745949	0.00001	;	simulated NACO
2016.092	-0.0672477768356	0.00001	0.0777202571956	0.00001	;	simulated NACO
2016.094	-0.0672436589659	0.00001	0.0776558099917	0.00001	;	simulated NACO
2016.096	-0.0672395152706	0.00001	0.0775913329633	0.00001	;	simulated NACO
2016.098	-0.0672353457127	0.00001	0.0775268260907	0.00001	;	simulated NACO
2016.1	-0.0672311502552	0.00001	0.077462289354	0.00001	;	simulated NACO
2016.102	-0.0672269288608	0.00001	0.0773977227335	0.00001	;	simulated NACO
2016.104	-0.0672226814923	0.00001	0.0773331262093	0.00001	;	simulated NACO
2016.106	-0.0672184081123	0.00001	0.0772684997613	0.00001	;	simulated NACO
2016.108	-0.0672141086834	0.00001	0.0772038433698	0.00001	;	simulated NACO
2016.11	-0.067209783168	0.00001	0.0771391570147	0.00001	;	simulated NACO
2016.112	-0.0672054315285	0.00001	0.077074440676	0.00001	;	simulated NACO
2016.114	-0.0672010537273	0.00001	0.0770096943337	0.00001	;	simulated NACO
2016.116	-0.0671966497264	0.00001	0.0769449179677	0.00001	;	simulated NACO
2016.118	-0.067192219488	0.00001	0.076880111558	0.00001	;	simulated NACO
2016.12	-0.0671877629742	0.00001	0.0768152750843	0.00001	;	simulated NACO
2016.122	-0.0671832801468	0.00001	0.0767504085265	0.00001	;	simulated NACO
2016.124	-0.0671787709677	0.00001	0.0766855118645	0.00001	;	simulated NACO
2016.126	-0.0671742353986	0.00001	0.076620585078	0.00001	;	simulated NACO
2016.128	-0.0671696734013	0.00001	0.0765556281467	0.00001	;	simulated NACO
2016.13	-0.0671650849372	0.00001	0.0764906410503	0.00001	;	simulated NACO
2016.132	-0.0671604699679	0.00001	0.0764256237686	0.00001	;	simulated NACO
2016.134	-0.0671558284547	0.00001	0.0763605762812	0.00001	;	simulated NACO
2016.136	-0.0671511603589	0.00001	0.0762954985676	0.00001	;	simulated NACO
2016.138	-0.0671464656417	0.00001	0.0762303906075	0.00001	;	simulated NACO
2016.14	-0.0671417442643	0.00001	0.0761652523804	0.00001	;	simulated NACO
2016.142	-0.0671369961877	0.00001	0.0761000838658	0.00001	;	simulated NACO
2016.144	-0.0671322213727	0.00001	0.0760348850432	0.00001	;	simulated NACO
2016.146	-0.0671274197803	0.00001	0.0759696558921	0.00001	;	simulated NACO
2016.148	-0.067122591371	0.00001	0.0759043963918	0.00001	;	simulated NACO
2016.15	-0.0671177361057	0.00001	0.0758391065217	0.00001	;	simulated NACO
2016.152	-0.0671128539448	0.00001	0.0757737862613	0.00001	;	simulated NACO
2016.154	-0.0671079448488	0.00001	0.0757084355898	0.00001	;	simulated NACO
2016.156	-0.067103008778	0.00001	0.0756430544864	0.00001	;	simulated NACO
2016.158	-0.0670980456927	0.00001	0.0755776429305	0.00001	;	simulated NACO
2016.16	-0.0670930555531	0.00001	0.0755122009013	0.00001	;	simulated NACO
2016.162	-0.0670880383193	0.00001	0.0754467283779	0.00001	;	simulated NACO
2016.164	-0.0670829939512	0.00001	0.0753812253394	0.00001	;	simulated NACO
2016.166	-0.0670779224086	0.00001	0.0753156917651	0.00001	;	simulated NACO
2016.168	-0.0670728236515	0.00001	0.075250127634	0.00001	;	simulated NACO
2016.17	-0.0670676976394	0.00001	0.0751845329252	0.00001	;	simulated NACO
2016.172	-0.067062544332	0.00001	0.0751189076175	0.00001	;	simulated NACO
2016.174	-0.0670573636888	0.00001	0.0750532516902	0.00001	;	simulated NACO
2016.176	-0.067052155669	0.00001	0.074987565122	0.00001	;	simulated NACO
2016.178	-0.0670469202321	0.00001	0.0749218478919	0.00001	;	simulated NACO
2016.18	-0.0670416573373	0.00001	0.0748560999788	0.00001	;	simulated NACO
2016.182	-0.0670363669435	0.00001	0.0747903213615	0.00001	;	simulated NACO
2016.184	-0.0670310490099	0.00001	0.0747245120189	0.00001	;	simulated NACO
2016.186	-0.0670257034953	0.00001	0.0746586719297	0.00001	;	simulated NACO
2016.188	-0.0670203303584	0.00001	0.0745928010726	0.00001	;	simulated NACO
2016.19	-0.0670149295581	0.00001	0.0745268994265	0.00001	;	simulated NACO
2016.192	-0.0670095010529	0.00001	0.0744609669698	0.00001	;	simulated NACO
2016.194	-0.0670040448013	0.00001	0.0743950036814	0.00001	;	simulated NACO
2016.196	-0.0669985607616	0.00001	0.0743290095398	0.00001	;	simulated NACO
2016.198	-0.0669930488923	0.00001	0.0742629845235	0.00001	;	simulated NACO
2016.2	-0.0669875091513	0.00001	0.0741969286112	0.00001	;	simulated NACO
2016.202	-0.066981941497	0.00001	0.0741308417812	0.00001	;	simulated NACO
2016.204	-0.0669763458871	0.00001	0.0740647240122	0.00001	;	simulated NACO
2016.206	-0.0669707222797	0.00001	0.0739985752824	0.00001	;	simulated NACO
2016.208	-0.0669650706324	0.00001	0.0739323955704	0.00001	;	simulated NACO
2016.21	-0.066959390903	0.00001	0.0738661848544	0.00001	;	simulated NACO
2016.212	-0.066953683049	0.00001	0.0737999431128	0.00001	;	simulated NACO
2016.214	-0.0669479470279	0.00001	0.073733670324	0.00001	;	simulated NACO
2016.216	-0.066942182797	0.00001	0.073667366466	0.00001	;	simulated NACO
2016.218	-0.0669363903136	0.00001	0.0736010315173	0.00001	;	simulated NACO
2016.22	-0.0669305695349	0.00001	0.0735346654559	0.00001	;	simulated NACO
2016.222	-0.0669247204178	0.00001	0.0734682682601	0.00001	;	simulated NACO
2016.224	-0.0669188429193	0.00001	0.0734018399079	0.00001	;	simulated NACO
2016.226	-0.0669129369963	0.00001	0.0733353803773	0.00001	;	simulated NACO
2016.228	-0.0669070026054	0.00001	0.0732688896466	0.00001	;	simulated NACO
2016.23	-0.0669010397033	0.00001	0.0732023676936	0.00001	;	simulated NACO
2016.232	-0.0668950482465	0.00001	0.0731358144964	0.00001	;	simulated NACO
2016.234	-0.0668890281913	0.00001	0.0730692300328	0.00001	;	simulated NACO
2016.236	-0.0668829794941	0.00001	0.0730026142809	0.00001	;	simulated NACO
2016.238	-0.0668769021111	0.00001	0.0729359672183	0.00001	;	simulated NACO
2016.24	-0.0668707959982	0.00001	0.0728692888231	0.00001	;	simulated NACO
2016.242	-0.0668646611115	0.00001	0.072802579073	0.00001	;	simulated NACO
2016.244	-0.0668584974068	0.00001	0.0727358379456	0.00001	;	simulated NACO
2016.246	-0.0668523048398	0.00001	0.0726690654189	0.00001	;	simulated NACO
2016.248	-0.0668460833662	0.00001	0.0726022614703	0.00001	;	simulated NACO
2016.25	-0.0668398329415	0.00001	0.0725354260777	0.00001	;	simulated NACO
2016.252	-0.0668335535211	0.00001	0.0724685592186	0.00001	;	simulated NACO
2016.254	-0.0668272450603	0.00001	0.0724016608705	0.00001	;	simulated NACO
2016.256	-0.0668209075143	0.00001	0.072334731011	0.00001	;	simulated NACO
2016.258	-0.066814540838	0.00001	0.0722677696177	0.00001	;	simulated NACO
2016.26	-0.0668081449866	0.00001	0.072200776668	0.00001	;	simulated NACO
2016.262	-0.0668017199148	0.00001	0.0721337521393	0.00001	;	simulated NACO
2016.264	-0.0667952655773	0.00001	0.0720666960089	0.00001	;	simulated NACO
2016.266	-0.0667887819288	0.00001	0.0719996082544	0.00001	;	simulated NACO
2016.268	-0.0667822689238	0.00001	0.0719324888529	0.00001	;	simulated NACO
2016.27	-0.0667757265165	0.00001	0.0718653377818	0.00001	;	simulated NACO
2016.272	-0.0667691546614	0.00001	0.0717981550183	0.00001	;	simulated NACO
2016.274	-0.0667625533125	0.00001	0.0717309405395	0.00001	;	simulated NACO
2016.276	-0.0667559224239	0.00001	0.0716636943228	0.00001	;	simulated NACO
2016.278	-0.0667492619495	0.00001	0.0715964163452	0.00001	;	simulated NACO
2016.28	-0.0667425718431	0.00001	0.0715291065837	0.00001	;	simulated NACO
2016.282	-0.0667358520584	0.00001	0.0714617650156	0.00001	;	simulated NACO
2016.284	-0.0667291025489	0.00001	0.0713943916177	0.00001	;	simulated NACO
2016.286	-0.066722323268	0.00001	0.071326986367	0.00001	;	simulated NACO
2016.288	-0.0667155141692	0.00001	0.0712595492406	0.00001	;	simulated NACO
2016.29	-0.0667086752056	0.00001	0.0711920802153	0.00001	;	simulated NACO
2016.292	-0.0667018063302	0.00001	0.0711245792679	0.00001	;	simulated NACO
2016.294	-0.0666949074961	0.00001	0.0710570463753	0.00001	;	simulated NACO
2016.296	-0.0666879786562	0.00001	0.0709894815143	0.00001	;	simulated NACO
2016.298	-0.066681019763	0.00001	0.0709218846617	0.00001	;	simulated NACO
2016.3	-0.0666740307692	0.00001	0.0708542557941	0.00001	;	simulated NACO
2016.302	-0.0666670116274	0.00001	0.0707865948882	0.00001	;	simulated NACO
2016.304	-0.0666599622898	0.00001	0.0707189019207	0.00001	;	simulated NACO
2016.306	-0.0666528827087	0.00001	0.0706511768682	0.00001	;	simulated NACO
2016.308	-0.0666457728362	0.00001	0.0705834197072	0.00001	;	simulated NACO
2016.31	-0.0666386326243	0.00001	0.0705156304142	0.00001	;	simulated NACO
2016.312	-0.0666314620248	0.00001	0.0704478089658	0.00001	;	simulated NACO
2016.314	-0.0666242609896	0.00001	0.0703799553383	0.00001	;	simulated NACO
2016.316	-0.0666170294701	0.00001	0.0703120695082	0.00001	;	simulated NACO
2016.318	-0.0666097674179	0.00001	0.0702441514518	0.00001	;	simulated NACO
2016.32	-0.0666024747843	0.00001	0.0701762011455	0.00001	;	simulated NACO
2016.322	-0.0665951515207	0.00001	0.0701082185656	0.00001	;	simulated NACO
2016.324	-0.066587797578	0.00001	0.0700402036883	0.00001	;	simulated NACO
2016.326	-0.0665804129073	0.00001	0.0699721564897	0.00001	;	simulated NACO
2016.328	-0.0665729974594	0.00001	0.0699040769462	0.00001	;	simulated NACO
2016.33	-0.0665655511851	0.00001	0.0698359650337	0.00001	;	simulated NACO
2016.332	-0.0665580740348	0.00001	0.0697678207284	0.00001	;	simulated NACO
2016.334	-0.0665505659592	0.00001	0.0696996440064	0.00001	;	simulated NACO
2016.336	-0.0665430269086	0.00001	0.0696314348436	0.00001	;	simulated NACO
2016.338	-0.0665354568331	0.00001	0.0695631932161	0.00001	;	simulated NACO
2016.34	-0.0665278556828	0.00001	0.0694949190997	0.00001	;	simulated NACO
2016.342	-0.0665202234077	0.00001	0.0694266124704	0.00001	;	simulated NACO
2016.344	-0.0665125599575	0.00001	0.0693582733039	0.00001	;	simulated NACO
2016.346	-0.0665048652821	0.00001	0.0692899015762	0.00001	;	simulated NACO
2016.348	-0.0664971393308	0.00001	0.0692214972629	0.00001	;	simulated NACO
2016.35	-0.0664893820531	0.00001	0.0691530603399	0.00001	;	simulated NACO
2016.352	-0.0664815933984	0.00001	0.0690845907827	0.00001	;	simulated NACO
2016.354	-0.0664737733157	0.00001	0.0690160885671	0.00001	;	simulated NACO
2016.356	-0.0664659217541	0.00001	0.0689475536686	0.00001	;	simulated NACO
2016.358	-0.0664580386624	0.00001	0.0688789860628	0.00001	;	simulated NACO
2016.36	-0.0664501239894	0.00001	0.0688103857253	0.00001	;	simulated NACO
2016.362	-0.0664421776837	0.00001	0.0687417526315	0.00001	;	simulated NACO
2016.364	-0.0664341996938	0.00001	0.0686730867569	0.00001	;	simulated NACO
2016.366	-0.0664261899679	0.00001	0.0686043880769	0.00001	;	simulated NACO
2016.368	-0.0664181484544	0.00001	0.0685356565668	0.00001	;	simulated NACO
2016.37	-0.0664100751012	0.00001	0.0684668922019	0.00001	;	simulated NACO
2016.372	-0.0664019698563	0.00001	0.0683980949577	0.00001	;	simulated NACO
2016.374	-0.0663938326674	0.00001	0.0683292648091	0.00001	;	simulated NACO
2016.376	-0.0663856634822	0.00001	0.0682604017316	0.00001	;	simulated NACO
2016.378	-0.0663774622481	0.00001	0.0681915057002	0.00001	;	simulated NACO
2016.38	-0.0663692289127	0.00001	0.0681225766901	0.00001	;	simulated NACO
2016.382	-0.066360963423	0.00001	0.0680536146762	0.00001	;	simulated NACO
2016.384	-0.0663526657261	0.00001	0.0679846196338	0.00001	;	simulated NACO
2016.386	-0.066344335769	0.00001	0.0679155915376	0.00001	;	simulated NACO
2016.388	-0.0663359734985	0.00001	0.0678465303628	0.00001	;	simulated NACO
2016.39	-0.0663275788612	0.00001	0.0677774360841	0.00001	;	simulated NACO
2016.392	-0.0663191518037	0.00001	0.0677083086765	0.00001	;	simulated NACO
2016.394	-0.0663106922722	0.00001	0.0676391481148	0.00001	;	simulated NACO
2016.396	-0.066302200213	0.00001	0.0675699543737	0.00001	;	simulated NACO
2016.398	-0.0662936755722	0.00001	0.0675007274281	0.00001	;	simulated NACO
2016.4	-0.0662851182956	0.00001	0.0674314672525	0.00001	;	simulated NACO
2016.402	-0.0662765283292	0.00001	0.0673621738216	0.00001	;	simulated NACO
2016.404	-0.0662679056185	0.00001	0.0672928471101	0.00001	;	simulated NACO
2016.406	-0.0662592501089	0.00001	0.0672234870925	0.00001	;	simulated NACO
2016.408	-0.0662505617459	0.00001	0.0671540937433	0.00001	;	simulated NACO
2016.41	-0.0662418404746	0.00001	0.0670846670371	0.00001	;	simulated NACO
2016.412	-0.06623308624	0.00001	0.0670152069482	0.00001	;	simulated NACO
2016.414	-0.0662242989871	0.00001	0.066945713451	0.00001	;	simulated NACO
2016.416	-0.0662154786605	0.00001	0.06687618652	0.00001	;	simulated NACO
2016.418	-0.0662066252049	0.00001	0.0668066261293	0.00001	;	simulated NACO
2016.42	-0.0661977385647	0.00001	0.0667370322534	0.00001	;	simulated NACO
2016.422	-0.0661888186842	0.00001	0.0666674048663	0.00001	;	simulated NACO
2016.424	-0.0661798655075	0.00001	0.0665977439422	0.00001	;	simulated NACO
2016.426	-0.0661708789786	0.00001	0.0665280494554	0.00001	;	simulated NACO
2016.428	-0.0661618590413	0.00001	0.0664583213799	0.00001	;	simulated NACO
2016.43	-0.0661528056393	0.00001	0.0663885596897	0.00001	;	simulated NACO
2016.432	-0.0661437187161	0.00001	0.0663187643589	0.00001	;	simulated NACO
2016.434	-0.066134598215	0.00001	0.0662489353613	0.00001	;	simulated NACO
2016.436	-0.0661254440793	0.00001	0.066179072671	0.00001	;	simulated NACO
2016.438	-0.0661162562519	0.00001	0.0661091762617	0.00001	;	simulated NACO
2016.44	-0.0661070346759	0.00001	0.0660392461074	0.00001	;	simulated NACO
2016.442	-0.0660977792939	0.00001	0.0659692821817	0.00001	;	simulated NACO
2016.444	-0.0660884900485	0.00001	0.0658992844585	0.00001	;	simulated NACO
2016.446	-0.0660791668821	0.00001	0.0658292529115	0.00001	;	simulated NACO
2016.448	-0.0660698097369	0.00001	0.0657591875141	0.00001	;	simulated NACO
2016.45	-0.0660604185551	0.00001	0.0656890882402	0.00001	;	simulated NACO
2016.452	-0.0660509932786	0.00001	0.0656189550632	0.00001	;	simulated NACO
2016.454	-0.0660415338491	0.00001	0.0655487879567	0.00001	;	simulated NACO
2016.456	-0.0660320402082	0.00001	0.0654785868941	0.00001	;	simulated NACO
2016.458	-0.0660225122975	0.00001	0.0654083518488	0.00001	;	simulated NACO
2016.46	-0.0660129500582	0.00001	0.0653380827943	0.00001	;	simulated NACO
2016.462	-0.0660033534313	0.00001	0.0652677797038	0.00001	;	simulated NACO
2016.464	-0.0659937223579	0.00001	0.0651974425507	0.00001	;	simulated NACO
2016.466	-0.0659840567788	0.00001	0.0651270713081	0.00001	;	simulated NACO
2016.468	-0.0659743566345	0.00001	0.0650566659494	0.00001	;	simulated NACO
2016.47	-0.0659646218655	0.00001	0.0649862264476	0.00001	;	simulated NACO
2016.472	-0.0659548524121	0.00001	0.0649157527758	0.00001	;	simulated NACO
2016.474	-0.0659450482145	0.00001	0.0648452449072	0.00001	;	simulated NACO
2016.476	-0.0659352092125	0.00001	0.0647747028147	0.00001	;	simulated NACO
2016.478	-0.0659253353459	0.00001	0.0647041264713	0.00001	;	simulated NACO
2016.48	-0.0659154265544	0.00001	0.0646335158499	0.00001	;	simulated NACO
2016.482	-0.0659054827775	0.00001	0.0645628709235	0.00001	;	simulated NACO
2016.484	-0.0658955039542	0.00001	0.0644921916647	0.00001	;	simulated NACO
2016.486	-0.0658854900239	0.00001	0.0644214780465	0.00001	;	simulated NACO
2016.488	-0.0658754409253	0.00001	0.0643507300415	0.00001	;	simulated NACO
2016.49	-0.0658653565973	0.00001	0.0642799476225	0.00001	;	simulated NACO
2016.492	-0.0658552369784	0.00001	0.0642091307621	0.00001	;	simulated NACO
2016.494	-0.065845082007	0.00001	0.0641382794329	0.00001	;	simulated NACO
2016.496	-0.0658348916214	0.00001	0.0640673936074	0.00001	;	simulated NACO
2016.498	-0.0658246657595	0.00001	0.0639964732582	0.00001	;	simulated NACO
2016.5	-0.0658144043593	0.00001	0.0639255183576	0.00001	;	simulated NACO
2016.502	-0.0658041073585	0.00001	0.0638545288782	0.00001	;	simulated NACO
2016.504	-0.0657937746946	0.00001	0.0637835047923	0.00001	;	simulated NACO
2016.506	-0.0657834063049	0.00001	0.0637124460722	0.00001	;	simulated NACO
2016.508	-0.0657730021266	0.00001	0.0636413526902	0.00001	;	simulated NACO
2016.51	-0.0657625620966	0.00001	0.0635702246184	0.00001	;	simulated NACO
2016.512	-0.0657520861518	0.00001	0.0634990618292	0.00001	;	simulated NACO
2016.514	-0.0657415742288	0.00001	0.0634278642945	0.00001	;	simulated NACO
2016.516	-0.065731026264	0.00001	0.0633566319865	0.00001	;	simulated NACO
2016.518	-0.0657204421937	0.00001	0.0632853648772	0.00001	;	simulated NACO
2016.52	-0.0657098219539	0.00001	0.0632140629387	0.00001	;	simulated NACO
2016.522	-0.0656991654805	0.00001	0.0631427261427	0.00001	;	simulated NACO
2016.524	-0.0656884727092	0.00001	0.0630713544613	0.00001	;	simulated NACO
2016.526	-0.0656777435755	0.00001	0.0629999478662	0.00001	;	simulated NACO
2016.528	-0.0656669780148	0.00001	0.0629285063293	0.00001	;	simulated NACO
2016.53	-0.0656561759622	0.00001	0.0628570298223	0.00001	;	simulated NACO
2016.532	-0.0656453373526	0.00001	0.0627855183168	0.00001	;	simulated NACO
2016.534	-0.0656344621208	0.00001	0.0627139717846	0.00001	;	simulated NACO
2016.536	-0.0656235502014	0.00001	0.0626423901973	0.00001	;	simulated NACO
2016.538	-0.0656126015287	0.00001	0.0625707735263	0.00001	;	simulated NACO
2016.54	-0.0656016160369	0.00001	0.0624991217432	0.00001	;	simulated NACO
2016.542	-0.06559059366	0.00001	0.0624274348195	0.00001	;	simulated NACO
2016.544	-0.0655795343319	0.00001	0.0623557127265	0.00001	;	simulated NACO
2016.546	-0.0655684379861	0.00001	0.0622839554355	0.00001	;	simulated NACO
2016.548	-0.0655573045561	0.00001	0.062212162918	0.00001	;	simulated NACO
2016.55	-0.065546133975	0.00001	0.0621403351452	0.00001	;	simulated NACO
2016.552	-0.0655349261759	0.00001	0.0620684720882	0.00001	;	simulated NACO
2016.554	-0.0655236810916	0.00001	0.0619965737182	0.00001	;	simulated NACO
2016.556	-0.0655123986547	0.00001	0.0619246400063	0.00001	;	simulated NACO
2016.558	-0.0655010787978	0.00001	0.0618526709236	0.00001	;	simulated NACO
2016.56	-0.0654897214529	0.00001	0.0617806664411	0.00001	;	simulated NACO
2016.562	-0.0654783265521	0.00001	0.0617086265297	0.00001	;	simulated NACO
2016.564	-0.0654668940274	0.00001	0.0616365511604	0.00001	;	simulated NACO
2016.566	-0.0654554238102	0.00001	0.061564440304	0.00001	;	simulated NACO
2016.568	-0.065443915832	0.00001	0.0614922939313	0.00001	;	simulated NACO
2016.57	-0.065432370024	0.00001	0.0614201120131	0.00001	;	simulated NACO
2016.572	-0.0654207863173	0.00001	0.0613478945201	0.00001	;	simulated NACO
2016.574	-0.0654091646426	0.00001	0.0612756414229	0.00001	;	simulated NACO
2016.576	-0.0653975049307	0.00001	0.0612033526921	0.00001	;	simulated NACO
2016.578	-0.0653858071117	0.00001	0.0611310282984	0.00001	;	simulated NACO
2016.58	-0.0653740711161	0.00001	0.0610586682121	0.00001	;	simulated NACO
2016.582	-0.0653622968736	0.00001	0.0609862724038	0.00001	;	simulated NACO
2016.584	-0.0653504843142	0.00001	0.0609138408439	0.00001	;	simulated NACO
2016.586	-0.0653386333674	0.00001	0.0608413735027	0.00001	;	simulated NACO
2016.588	-0.0653267439625	0.00001	0.0607688703505	0.00001	;	simulated NACO
2016.59	-0.0653148160287	0.00001	0.0606963313575	0.00001	;	simulated NACO
2016.592	-0.0653028494948	0.00001	0.060623756494	0.00001	;	simulated NACO
2016.594	-0.0652908442897	0.00001	0.0605511457301	0.00001	;	simulated NACO
2016.596	-0.0652788003418	0.00001	0.0604784990359	0.00001	;	simulated NACO
2016.598	-0.0652667175794	0.00001	0.0604058163815	0.00001	;	simulated NACO
2016.6	-0.0652545959305	0.00001	0.0603330977368	0.00001	;	simulated NACO
2016.602	-0.065242435323	0.00001	0.0602603430717	0.00001	;	simulated NACO
2016.604	-0.0652302356846	0.00001	0.0601875523563	0.00001	;	simulated NACO
2016.606	-0.0652179969427	0.00001	0.0601147255602	0.00001	;	simulated NACO
2016.608	-0.0652057190243	0.00001	0.0600418626533	0.00001	;	simulated NACO
2016.61	-0.0651934018567	0.00001	0.0599689636054	0.00001	;	simulated NACO
2016.612	-0.0651810453663	0.00001	0.059896028386	0.00001	;	simulated NACO
2016.614	-0.0651686494799	0.00001	0.0598230569649	0.00001	;	simulated NACO
2016.616	-0.0651562141237	0.00001	0.0597500493116	0.00001	;	simulated NACO
2016.618	-0.0651437392237	0.00001	0.0596770053956	0.00001	;	simulated NACO
2016.62	-0.0651312247059	0.00001	0.0596039251864	0.00001	;	simulated NACO
2016.622	-0.0651186704958	0.00001	0.0595308086534	0.00001	;	simulated NACO
2016.624	-0.0651060765189	0.00001	0.0594576557659	0.00001	;	simulated NACO
2016.626	-0.0650934427003	0.00001	0.0593844664934	0.00001	;	simulated NACO
2016.628	-0.065080768965	0.00001	0.059311240805	0.00001	;	simulated NACO
2016.63	-0.0650680552376	0.00001	0.05923797867	0.00001	;	simulated NACO
2016.632	-0.0650553014427	0.00001	0.0591646800575	0.00001	;	simulated NACO
2016.634	-0.0650425075045	0.00001	0.0590913449366	0.00001	;	simulated NACO
2016.636	-0.065029673347	0.00001	0.0590179732763	0.00001	;	simulated NACO
2016.638	-0.065016798894	0.00001	0.0589445650457	0.00001	;	simulated NACO
2016.64	-0.0650038840691	0.00001	0.0588711202136	0.00001	;	simulated NACO
2016.642	-0.0649909287954	0.00001	0.0587976387491	0.00001	;	simulated NACO
2016.644	-0.0649779329962	0.00001	0.0587241206208	0.00001	;	simulated NACO
2016.646	-0.0649648965942	0.00001	0.0586505657976	0.00001	;	simulated NACO
2016.648	-0.0649518195121	0.00001	0.0585769742481	0.00001	;	simulated NACO
2016.65	-0.0649387016721	0.00001	0.0585033459412	0.00001	;	simulated NACO
2016.652	-0.0649255429964	0.00001	0.0584296808453	0.00001	;	simulated NACO
2016.654	-0.0649123434069	0.00001	0.0583559789291	0.00001	;	simulated NACO
2016.656	-0.0648991028251	0.00001	0.058282240161	0.00001	;	simulated NACO
2016.658	-0.0648858211725	0.00001	0.0582084645095	0.00001	;	simulated NACO
2016.66	-0.0648724983702	0.00001	0.058134651943	0.00001	;	simulated NACO
2016.662	-0.0648591343391	0.00001	0.0580608024298	0.00001	;	simulated NACO
2016.664	-0.0648457289998	0.00001	0.0579869159382	0.00001	;	simulated NACO
2016.666	-0.0648322822727	0.00001	0.0579129924366	0.00001	;	simulated NACO
2016.668	-0.0648187940779	0.00001	0.0578390318929	0.00001	;	simulated NACO
2016.67	-0.0648052643354	0.00001	0.0577650342754	0.00001	;	simulated NACO
2016.672	-0.0647916929647	0.00001	0.0576909995521	0.00001	;	simulated NACO
2016.674	-0.0647780798853	0.00001	0.0576169276911	0.00001	;	simulated NACO
2016.676	-0.0647644250163	0.00001	0.0575428186602	0.00001	;	simulated NACO
2016.678	-0.0647507282765	0.00001	0.0574686724275	0.00001	;	simulated NACO
2016.68	-0.0647369895846	0.00001	0.0573944889607	0.00001	;	simulated NACO
2016.682	-0.0647232088589	0.00001	0.0573202682276	0.00001	;	simulated NACO
2016.684	-0.0647093860175	0.00001	0.057246010196	0.00001	;	simulated NACO
2016.686	-0.0646955209783	0.00001	0.0571717148335	0.00001	;	simulated NACO
2016.688	-0.0646816136588	0.00001	0.0570973821078	0.00001	;	simulated NACO
2016.69	-0.0646676639764	0.00001	0.0570230119864	0.00001	;	simulated NACO
2016.692	-0.0646536718481	0.00001	0.0569486044369	0.00001	;	simulated NACO
2016.694	-0.0646396371907	0.00001	0.0568741594267	0.00001	;	simulated NACO
2016.696	-0.0646255599207	0.00001	0.0567996769231	0.00001	;	simulated NACO
2016.698	-0.0646114399545	0.00001	0.0567251568936	0.00001	;	simulated NACO
2016.7	-0.0645972772078	0.00001	0.0566505993055	0.00001	;	simulated NACO
2016.702	-0.0645830715966	0.00001	0.0565760041259	0.00001	;	simulated NACO
2016.704	-0.0645688230362	0.00001	0.056501371322	0.00001	;	simulated NACO
2016.706	-0.0645545314418	0.00001	0.0564267008609	0.00001	;	simulated NACO
2016.708	-0.0645401967283	0.00001	0.0563519927098	0.00001	;	simulated NACO
2016.71	-0.0645258188104	0.00001	0.0562772468355	0.00001	;	simulated NACO
2016.712	-0.0645113976023	0.00001	0.0562024632051	0.00001	;	simulated NACO
2016.714	-0.0644969330183	0.00001	0.0561276417854	0.00001	;	simulated NACO
2016.716	-0.064482424972	0.00001	0.0560527825433	0.00001	;	simulated NACO
2016.718	-0.064467873377	0.00001	0.0559778854456	0.00001	;	simulated NACO
2016.72	-0.0644532781465	0.00001	0.0559029504588	0.00001	;	simulated NACO
