;	Simulated Data
;	t0	2010.35
s2	;	name	of	the	star
;	mK	13.95
;	spectral	type	B2
;	square	10.
;	facSchwarzschild	0	0
;	facSpecialRelativity	0	0
;	facGravitationalRedshift	0	0
;	facRetardation	0	0
;	useEllipse	FALSE
;	omegaSys	0	0
;	Dec2	0	0
;	Ra2	0	0
;	vDec2	0	0
;	vRa2	0	0
1992.194	-0.00693031675668	0.00001	0.177054276268	0.00001	;	simulated NACO
1992.196	-0.00695331691451	0.00001	0.177062701109	0.00001	;	simulated NACO
1992.198	-0.00697631633848	0.00001	0.177071107263	0.00001	;	simulated NACO
1992.2	-0.00699931502635	0.00001	0.177079494734	0.00001	;	simulated NACO
1992.202	-0.0070223129759	0.00001	0.177087863525	0.00001	;	simulated NACO
1992.204	-0.00704531018493	0.00001	0.177096213642	0.00001	;	simulated NACO
1992.206	-0.0070683066512	0.00001	0.177104545089	0.00001	;	simulated NACO
1992.208	-0.00709130237251	0.00001	0.177112857869	0.00001	;	simulated NACO
1992.21	-0.00711429734662	0.00001	0.177121151987	0.00001	;	simulated NACO
1992.212	-0.00713729157132	0.00001	0.177129427448	0.00001	;	simulated NACO
1992.214	-0.00716028504441	0.00001	0.177137684256	0.00001	;	simulated NACO
1992.216	-0.00718327776366	0.00001	0.177145922414	0.00001	;	simulated NACO
1992.218	-0.00720626972686	0.00001	0.177154141928	0.00001	;	simulated NACO
1992.22	-0.0072292609318	0.00001	0.177162342801	0.00001	;	simulated NACO
1992.222	-0.00725225137627	0.00001	0.177170525038	0.00001	;	simulated NACO
1992.224	-0.00727524105805	0.00001	0.177178688642	0.00001	;	simulated NACO
1992.226	-0.00729822997495	0.00001	0.177186833619	0.00001	;	simulated NACO
1992.228	-0.00732121812476	0.00001	0.177194959972	0.00001	;	simulated NACO
1992.23	-0.00734420550525	0.00001	0.177203067706	0.00001	;	simulated NACO
1992.232	-0.00736719211424	0.00001	0.177211156825	0.00001	;	simulated NACO
1992.234	-0.00739017794951	0.00001	0.177219227332	0.00001	;	simulated NACO
1992.236	-0.00741316300888	0.00001	0.177227279233	0.00001	;	simulated NACO
1992.238	-0.00743614729012	0.00001	0.177235312532	0.00001	;	simulated NACO
1992.24	-0.00745913079104	0.00001	0.177243327231	0.00001	;	simulated NACO
1992.242	-0.00748211350944	0.00001	0.177251323337	0.00001	;	simulated NACO
1992.244	-0.00750509544312	0.00001	0.177259300853	0.00001	;	simulated NACO
1992.246	-0.0075280765899	0.00001	0.177267259783	0.00001	;	simulated NACO
1992.248	-0.00755105694755	0.00001	0.177275200132	0.00001	;	simulated NACO
1992.25	-0.0075740365139	0.00001	0.177283121903	0.00001	;	simulated NACO
1992.252	-0.00759701528675	0.00001	0.1772910251	0.00001	;	simulated NACO
1992.254	-0.00761999326391	0.00001	0.177298909729	0.00001	;	simulated NACO
1992.256	-0.00764297044318	0.00001	0.177306775793	0.00001	;	simulated NACO
1992.258	-0.00766594682237	0.00001	0.177314623296	0.00001	;	simulated NACO
1992.26	-0.00768892239929	0.00001	0.177322452242	0.00001	;	simulated NACO
1992.262	-0.00771189717176	0.00001	0.177330262636	0.00001	;	simulated NACO
1992.264	-0.00773487113758	0.00001	0.177338054482	0.00001	;	simulated NACO
1992.266	-0.00775784429457	0.00001	0.177345827783	0.00001	;	simulated NACO
1992.268	-0.00778081664054	0.00001	0.177353582545	0.00001	;	simulated NACO
1992.27	-0.00780378817331	0.00001	0.177361318771	0.00001	;	simulated NACO
1992.272	-0.00782675889069	0.00001	0.177369036464	0.00001	;	simulated NACO
1992.274	-0.00784972879051	0.00001	0.177376735631	0.00001	;	simulated NACO
1992.276	-0.00787269787058	0.00001	0.177384416273	0.00001	;	simulated NACO
1992.278	-0.00789566612871	0.00001	0.177392078397	0.00001	;	simulated NACO
1992.28	-0.00791863356274	0.00001	0.177399722005	0.00001	;	simulated NACO
1992.282	-0.00794160017048	0.00001	0.177407347102	0.00001	;	simulated NACO
1992.284	-0.00796456594975	0.00001	0.177414953692	0.00001	;	simulated NACO
1992.286	-0.00798753089838	0.00001	0.177422541778	0.00001	;	simulated NACO
1992.288	-0.0080104950142	0.00001	0.177430111366	0.00001	;	simulated NACO
1992.29	-0.00803345829503	0.00001	0.177437662459	0.00001	;	simulated NACO
1992.292	-0.00805642073869	0.00001	0.177445195062	0.00001	;	simulated NACO
